userid,fooditem,consumptions
user1,431,3
user1,432,4
user1,433,2
user1,434,1
user1,435,4
user1,436,5
user2,442,3
user2,443,2
user2,444,4
user2,445,6
user2,446,2
user2,447,3
user2,448,1
user10,566,4
user10,567,3
user10,568,2
user10,569,2
user10,570,3
user10,571,1
user15,583,6
user15,584,3
user15,585,2
user15,586,6
user15,587,7
user15,588,4
user15,589,4
user20,731,6
user20,732,2
user20,733,4
user30,220,5
user30,221,6
user30,222,7
user30,223,7
user33,227,4
user33,228,7
user33,229,4
user33,230,3
user33,231,8
user44,235,5
user44,236,3
user44,237,6
user44,238,7
user44,239,3
user40,281,7
user40,282,6
user40,283,5
user40,289,3
user40,290,3
user40,291,3
user40,292,3
user40,293,6
user45,307,7
user45,308,4
user45,309,3
user45,310,6
user45,311,2
user45,312,7
user48,369,2
user48,370,5
user48,371,2
user55,1,8
user55,2,6
user55,3,5
user55,4,4
user55,5,3
user55,6,6
user60,11,3
user60,12,2
user60,13,7
user60,14,2
user60,15,6
user65,28,4
user65,29,2
user65,30,2
user65,40,5
user65,41,7
user65,42,5
user70,92,8
user70,93,4
user70,94,7
user70,95,2
user70,96,3
user70,97,2
user70,98,5
user70,107,6
user73,159,4
user73,160,7
user73,161,5
user73,162,3
user73,163,5
user73,164,6
user73,165,3
user73,166,2
user73,167,6
user73,168,7
user75,468,4
user75,469,3
user75,470,2
user75,508,6
